"product_name","product_description","brand_name","product_category"
"Brake piston tools","For pressing home the brake piston when fitting new brake pads.With internal 1/2 fitting for ratchet drive handle and external 21 mm hexagonal fitting for fixed Allen key.Capacity: 0–65 mm.","Tenneco","Tools"
"Brake pliers, 180 mm","For easy fitting and removal of brake lock washers.Fits most drum brakes.","Bosch","Tools"
"Pneumatic brake bleeder","Pneumatic tool that extracts brake fluid using a vacuum. Makes brake bleeding much easier. Suitable for both cars and motorcycles. Container 1 l.","Bosch","Tools"
"Brake bleeder, manual","To bleed the brakes or replace the brake fluid. With pressure gauge, hose and adapter.  Volume of the plastic container: 2 l.","Magna International","Tools"
"Brake air bleed","Sturdy model for regular use. Facilitates bleeding of brakes and collects brake fluid by itself. With a silicone hose and non-return valve, a metal hanger for hanging up and tightly-fitting rubber connection to fit most air nipples.","AP Racing","Tools"
"Brake bleeder","With built-in fixed check valve.","Bosal","Tools"
"Pneumatic brake bleeder","Easy-to-use pneumatic brake bleeder that works quickly and efficiently. The tank holds 2 litres. Operating pressure: 2.7-11 bar, with R1/4 connection. Universal adapter with PVC suction hose.","WABCO","Tools"
"Brake air bleed","To bleed the brakes or replace the brake fluid. Also for work with transmission oil. Compressed air-driven. Connected to bleed nipple to extract brake fluid/transmission oil. Container: 6.0 litres.","Pierburg","Tools"
"Suction hose","Complete suction hose for Brake Bleeder 19-1577.","ElringKlinger","Tools"
"Brake bleed key, 8 mm","For simple, spill-free brake bleeding Short, surround key facilitates use in limited spaces by the brake caliper.With a hose connectionRubber sealBuilt-in handleSocket with key.","Ferodo","Tools"
"Brake bleed key, 11 mm","For simple, spill-free brake bleeding Short, surround key facilitates use in limited spaces by the brake caliper.With a hose connectionRubber sealBuilt-in handleSocket with key.","Febi Bilstein","Tools"
"Brake bleed key, 10 mm","For simple, spill-free brake bleeding Short, surround key facilitates use in limited spaces by the brake caliper.With a hose connectionRubber sealBuilt-in handleSocket with key.","BorgWarner","Tools"
"Brake bleed key, 9 mm","For simple, spill-free brake bleeding Short, surround key facilitates use in limited spaces by the brake caliper.With a hose connectionRubber sealBuilt-in handleSocket with key.","Bosal","Tools"
"Brake bleed key, 7 mm","For simple, spill-free brake bleeding Short, surround key facilitates use in limited spaces by the brake caliper.With a hose connectionRubber sealBuilt-in handleSocket with key.","FAG","Tools"
"Brake pipe flaring kit","For quick and easy brake pipe flaring. The brake pipe and be cut and then easily flared without having to remove the brake pipe. Hydraulic screwdriver with aluminium clamp tool. Complete with pipe jaws and flaring punches for the following pipe dimensions: Pipe jaws: 3/16, 1/4, 4.75 mm. Flaring punches: 4.75 DIN, 1/4 DIN, 3/16 OP1, 1/4 OP1, 1/4 OP2.NOTE! Only for use with copper pipes.","Schaeffler","Tools"
"Special socket spanner, 1/2 pipe, 8-pack","Open sockets for hard-to-reach pipe connections. 1/2 square drive. CrMo steel.","Febi Bilstein","Tools"
"Screw thread repair kit (mm), 21 parts with 110 adapters","Complete kit for repairing damaged screw threads. The damaged thread is replaced with a new thread adapter. The kit consists of drill bit, screw tap and fitting tool for M5 x 0.8, M6 x 1.0, M8 x 1.25, M10 x 1.5 and M12 x 1.75, as well as 25 x screw adapters in stainless steel for each of M5-M10 and 10 x for M12. Supplied in a sturdy metal case.","AP Racing","Tools"
"Thread repair kit, M6 x 1,0","Stainless steel thread adapters. To replace damaged threads. Complete repair kit with drill bit, thread tap, thread adapters and insertion tools. Supplied in a sturdy metal box.","Dayco","Tools"
"Thread repair kit, M8 x 1,25","Stainless steel thread adapters. To replace damaged threads. Complete repair kit with drill bit, thread tap, thread adapters and insertion tools. Supplied in a sturdy metal box.","NGK Spark Plug","Tools"
"Thread repair kit, M10 x 1,5","Stainless steel thread adapters. To replace damaged threads. Complete repair kit with drill bit, thread tap, thread adapters and insertion tools. Supplied in a sturdy metal box.","Behr Hella Service","Tools"
"Screw thread repair kit, brake calliper","When working on brake callipers it is common that the sliding bolt threads break. With this kit you can replace old, broken threads with adapters in stainless steel. The kit is suitable for VAG, Ford and Opel. Not suitable for brake callipers made of aluminium.Includes the following:Drill bitsScrew tap10 threaded inserts in stainless steel (M9 x 1.25) with copper washersAllen key (7 mm)Template","Hella","Tools"
"Thread Repair Set, 43 parts","For damaged metric, UNC and UNF threads.ContentsScrew taps with hexagonal fitting:mm: M6 x 1.00, M8 x 1.25, M10 x 1.25, M10 x 1.50, M12 x 1.25, M12 x 1.50, M12 x 1.75UNC: 1/4, 5/16, 3/8, 7/16, 1/2, 9/16UNF: 1/4, 5/16, 3/8, 7/16, 1/2, 9/16Cutting die:mm: M6 x 1.00, M8 x 1.25, M10 x 1.25, M10 x 1.50, M12 x 1.25, M12 x 1.50, M12 x 1.75UNC: 1/4, 5/16, 3/8, 7/16, 1/2, 9/16, 5/8UNF: 1/4, 5/16, 3/8, 7/16, 1/2, 9/16, 5/8Thread files:3 for mm, UNC and UNF.","Tenneco","Tools"
"Thread repair kit, M12 x 1,75","Stainless steel thread adapters. To replace damaged threads. Complete repair kit with drill bit, thread tap, thread adapters and insertion tools. Supplied in a sturdy metal box.","FAG","Tools"
"Thread Adapters","Stainless steel thread adapters. For replacing damaged threads. Fits Thread Repair Kit19-1372.Thread	Qty	Art.no. M5 x 0.8	2519-1377M6 x 1.0	2519-1378M8 x 1.25	2519-1379M10 x 1.5	2519-1380M12 x 1.75	1019-1381","Magna International","Tools"
"Bar bending tool set","12-tonne hydraulic bar bender for thick bar dimensions.Suitable for e.g. bending roll bars in folk racing cars.Comes with 6 different bar bending tools for bars in the following dimensions: 1/2, 3/4, 1, 1 1/4, 1 1/2, 2.Copes with thicknesses of 7-8 mm.If the bar is thin or made of aluminium, it should be filled with sand, otherwise the bar bender will end up flattening the bar.","ZF Friedrichshafen","Tools"
"Rörbockningsverktyg, 15 mm","A pipe bender is an indispensable tool for achieving the correct bends on pipes during installations. This manual pipe bender is easy to use and facilitates all types of pipe routing.For copper, brass and aluminium piping. The angles 30°, 60°, 90°, 120°, 150° and 180° are pre-marked on the tool.For 15 mm pipes.","Hella","Tools"
"Rörbockningsverktyg, 12 mm","A pipe bender is an indispensable tool for achieving the correct bends on pipes during installations. This manual pipe bender is easy to use and facilitates all types of pipe routing.For copper, brass and aluminium piping. The angles 30°, 60°, 90°, 120°, 150° and 180° are pre-marked on the tool.For 12 mm pipes.","WABCO","Tools"
"Pipe-bending tool, Ø 6, 8, 10 mm","For copper, brass and aluminium piping.Graduation: 0-180°.For 3 different pipe dimensions: Ø 6, 8, 10 mm.Radius:Ø 6 mm = r22mmØ 8 mm = r20mmØ 10 mm = r18mmTool markingsThe O mark is used to measure the angle when bending.R & L are reference marks for marking where to start bending to ensure the correct radius around the corner.","ElringKlinger","Tools"
"Pipe-bending tool, Ø 3, 4, 6 mm","For copper, brass and aluminium piping.Graduation: 0–90°.For 3 different pipe dimensions, Ø 3, 4, 6 mm.Radius:Ø 3 mm = r14mmØ 4 mm = r12mmØ 6 mm = r10mm","ElringKlinger","Tools"
"Pipe cutters, 3 – 22 mm","For copper, brass and aluminium piping.Cuts Ø 3–22 mm (1/8–7/8).","Ferodo","Tools"
"Pipe cutter, 3 – 30 mm","For copper, brass and aluminium piping.Cuts Ø 3–30 mm (1/8–1 1/8), also close to the pipe flange.Supplied with spare cutting wheel in the handle, and fold-out deburring tool.","ElringKlinger","Tools"
"Fork Wedge Set, 5 parts","Universal removal tool for loosening ball joints, spindle joints, etc.The set contains: 3 interchangeable forks with 17, 24, and 28 mm openings, shaft with locknut (length 200 mm), and an adapter for pneumatic chisel hammers (length 180 mm).Supplied in a compression-moulded plastic box.","Bosch","Tools"
"Rubber spring boosters, 6-pack","Prevents sagging when coil springs start to wear out. Use three boosters in each spring.","LemfÃ¶rder","Tools"
"Spindle joint tool","Mounting tool for spindle joints on Volvo cars, needed to avoid damaging the ball joint.Contents: Press tool, 2 alignment bolts, 3 adapters: M12 x 1,5 – M14 x 1,5, M12 x 1,5 – M12 x 1,75, M12 x 1,5x – M14 x 2.Replaces OEM number 9995796.Recommended accessories: Sledgehammer with M12 x 1.5 mm adapter screw thread.","SKF","Tools"
"Clutch alignment tool","For aligning clutches in most European and Japanese passenger cars and vans. With holder, conical guide socket and 8 alignment sockets. Can be used when the centre hole of the flywheel has a diameter of 11, 15, 16.5, 17, 19, 20, 20.5 or 25 mm.","Hella","Tools"
"Centring tool","Universal centring tool for clutch plate both with and without guide/pilot bearings.Centres the disc with the pressure plate and thus facilitates assembly with the flywheel.  Can be used with most discs and pressure plates and replaces the guide pins/centring devices that can most often only be used for one type of clutch mechanism.Can also be used where pilot/guide bearings in the crankshaft are missing. Interchangeable sockets for installation of discs with centre holes from 10 mm to 30 mm diameter.Using this tool the work of centring the disc to the pressure plate can be done on the bench and can thereafter be mounted as a single unit onto the flywheel.Contains pilot bearing/guide bearing adapters with centre holes Ø10 mm to 30 mm, adapter for pressure plate, holder and cone adapter.For most cars, light trucks, etc.Illustrated instructions in English are included.","Ruville","Tools"
"Spring compressor, McPherson","Spring compressor with replaceable arms.For removal/fitting suspension springs on all types of McPherson struts.Fits springs with diameters of Ø 80–115 mm, Ø 110–150 mm, Ø 140–195 mm.21 mm hexagonal fitting.Supplied with 3 pairs of arms.Arms are covered with plastic protection.NOTE! Approved for use with nut driver.","WABCO","Tools"
"Spring compressor, 2-pack","With 4 forged grips.Internal 1/2 mount and external 21mm hex mount for sockets or spanners.Not suitable for nut drivers.","Tenneco","Tools"
"Shock-absorber spring compressor","Complete set for fitting/removing rear axle coiled springs, especially in confined spaces.Spring plate dimensions: 60 – 120 mm, 120 – 170 mm.With torque rod, hex key (8 x 280 mm), combination spanner(19 mm) and spindle (100 – 250 mm).CrV steel.","Ferodo","Tools"
"Strut expander tool","Open the wheel spindle's clamp to detach the strut.With 3/8 handle and bit holder.Special bits for various clamp opening sizes: 7.5 x 9, 5.2 x 6.9, 6.6 x 7.9, 4.3 x 6.0, 12.7 x 16.7 (mm).CrV steel.TIP: For extra force, use a ratchet and a 17 socket (not included).","Magna International","Tools"
"Spring Compressor, internal","For internal compression of coil springs. ½ square adapter. Jaw width: 350 mm. CrV steel.","LUK","Tools"
"Spring tensioner, universal","For removing and fitting springs measuring Ø 66–120 mm, 90–140 mm. Can be used with a nut driver. Torque rod for 100 Nm torque included. Suitable for struts with lower holes measuring at least 30 mm.ContentsLarge spring plates Ø 90–150 mm (x2)Small spring plates Ø 66–130 mm (x2)Shaft 95–220 mmTorque rod 100 Nm, ½”C-clamps and mounting rod for tighter connection, (x2).","ZF Friedrichshafen","Tools"
"Spring compressor","Complete spring compressor for fitting and removing springs.For fitting/removing springs. For Mercedes-Benz, Volvo, Saab, Ford, GM, VAG, etc.Spring arms: Ø 70/130 mm and Ø 90/150 mm.19 mm hexagonal fitting.CrV steel.NOTE! Only for manual use (NOT for use with nut drivers).","AP Racing","Tools"
"Front wheel bearing tool set","For fitting/removing hubs and wheel bearings in front-wheel drive cars without having to remove knuckles and struts. Can be used directly on the car. Since knuckles and struts do not need to be removed, front suspension alignment does not need to be carried out after work is completed. Can also be used to remove rear wheel bearings. Supplied in a compression-moulded plastic case with practical carrying handle.","ATE","Tools"
"Universal press and pull sleeve kit","Perfect universal set for fitting/removing bushings, bearings, etc. Can be used with the supplied spindles or a stationary hydraulic press or hydraulic screwdriver.NOTE! Only for manual use (NOT for use with nut drivers).Includes the following20 pressure sockets 3472 mm (stepped at 2 mm)2 stepped spacers (A-side with 8 slots, B-side with 7 slots)4 spindles (M10, M12, M14, M16) length 450 mm, with 27 mm hex nuts.","FAG","Tools"
"Compact wheel bearing tool set, 82 mm","Special tool for fitting/removing compact wheel bearings (HBU 2.1). Suitable for cars with Ø 82 mm wheel hubs, such as Ford Mondeo, Galaxy, S-Max, Land Rover Freelander 2, Volvo S80, V70, XC60, XC70.","ATE","Tools"
"Compact wheel bearing tool set, 78 mm","For insertion behind the bearing for effective fitting/removal, which reduces the risk of damaging the bearing. Suitable for all cars with Ø 78 mm wheel hubs, including newer models of Volvo, Ford and Mazda.","Brembo","Tools"
"Ball joint tool set","Practical tool set for easy removal of ball joints.Simple to adapt for different cars.Fork sizes: 20, 22, 24, 27 and 30 mm.","ATE","Tools"
"Ball bolt puller set, 3 pcs.","Universal removal tools for ball joints, spindle joints, etc. The low profile means they can be used on most modern vehicles. Made of durable forged steel with tempered screws.The set contains 3 removal tools with the following dimensions:Opening: 23 mm, 28 mm, 34 mmPuller length: 90 mm, 92 mm, 98 mmScrew length: 85 mm, 85 mm, 105 mmSupplied in a practical partitioned plastic case.","ATE","Tools"
"Rubber Spring Boosters, 6-pack","Rubber spacer that prevents sagging when coil springs start to wear out. Three should be used in each spring.","Ruville","Tools"
"Shock Absorber Tool, 4-pack.","For mounting/removing shock absorbers.With 2 hex nut sockets: 17 and 19 mm, and 2 different shock absorber sockets that fit most shock absorbers.","NGK Spark Plug","Tools"
"Shock Absorber Tool, Volvo","For fitting/removing shock absorbers in S40, S60, S70, S80, S90, V40 och V70.","INA","Tools"
"Special clamp bolt tool","Special tool that secures the axle when removing the clamp bolt from the upper control arm in VW, Audi and Seat. CrV steel.","VDO","Tools"
"Tyre marker pen","Marker pen for writing on tyres. Ideal for marking summer/winter tyres. Very adhesive and dries quickly. Colour: white.EUH208 Contains .?. May produce an allergic reaction.EUH210 Safety data sheet available on request.EUH211 Warning! Hazardous respirable droplets may be formed when sprayed. Do not breathe spray or mist.","AP Racing","Tools"
"Tyre marking tags","For marking wheels when changing summer/winter tyres. Clips easily over the valve stem.","GKN Driveline","Tools"
"Tyre cover, 76 x 99 cm","For practical storage of up to four tyres.Water-repellent.Made of 100 % polyester.Not washable.Fits: 185/SR14, 195/70 R15, 205/70 R15, 205/65 R15, 205/65 R16, 205/60 R15, 205/60 R16,205/55 R15, 205/55 R16, 205/50 R15, 205/50 R16, 215/70 R16, 215/65 R15, 215/65 R16, 215/60 R16, 215/55 R16, 215/55 R17, 215/50 R17, 215/45 R17, 225/60 R16, 225/60 R17, 225/55 R18, 225/50 R15, 225/50 R16, 225/45 R17, 235/45 R17.","Magna International","Tools"
"Tyre Covers, 4-pack","For practical tyre storage. With drawstring to fully cover the tyre and a convenient carry strap. Tyre marking symbols. Washable at 30 °C.","Pierburg","Tools"
"Tyre Bags, 4-pack.","Practical bags for clean, convenient tyre transport and storage. The bags have a space for marking tyre position, etc. The package contains four storage bags. Fits wheels up to 20.","INA","Tools"
"Tyre brush, 44 cm","For tyre mounting paste. Strong construction with wooden handle.","Delphi Technologies","Tools"
"Wheel Brace 17/19/21 mm x 1/2","Strong galvanised wheel brace with socket widths: 17, 19 and 21 mm and 1/2 socket drive.","Faurecia","Tools"
"Tyre bar with plastic guard, 500 mm","For mounting/removal of tyres. With rounded edges and plastic guard that makes the tool extra suitable for aluminium rims to avoid causing scratches. CrV steel.","Schaeffler","Tools"
"Tyre fitting paste, 2 kg","Tyre mounting paste with corrosion protection. Facilitates rim mounting of tyres. The paste is applied to the tyre with a brush.Show safety phrases","ElringKlinger","Tools"
"Wheel arch tool","To widen the space between tyres and wheel arches when installing wider rims. Suitable for most cars on the market with 3-4-5 bolts.","Brembo","Tools"
"Jointed handle, telescopic","Telescopic 1/2 jointed handle for most jobs.Properties:Straight socket drive:For increased force transferMatte chromed:Durable surface with high corrosion resistanceAdjustable lever:Telescopic shaft for length 457-610 mm","Behr Hella Service","Tools"
"Valve stem tool","Practical tool for fitting/removing valve stems.","Bosal","Tools"
"Tyre bar with plastic guard, 380 mm","For mounting/removal of tyres. With rounded edges and plastic guard that makes the tool extra suitable for aluminium rims to avoid causing scratches. CrV steel.","GKN Driveline","Tools"
"Tyre iron, 650 mm","Tyre iron with rounded edges. For fitting/removing tyres on passenger cars. Made of CrV steel.","FAG","Tools"
"Wheel lock","Deterrent, visible wheel lock that prevents the vehicle from being moved.For cars, caravans, trailers, boat trailers, etc.Rubber-coated security tag that protects and prevents access to wheel bolts.Quick and easy to fit.For wheels 13–17 with width up to 215 mm.Can be used for both steel and aluminium rims.Collapsible for easy storage.Lock with two keys.","ElringKlinger","Tools"
"Valve stem tool","For easy replacement of tyre valves on tubeless tyres. The tool has a plastic handle to prevent damage to alloy rims. With valve stem tool.","Mann+Hummel","Tools"
"Sealing Plug, 5-pack","Sealing plugs for repair kit 82-573.","FAG","Tools"
"Scraper tool set, 2-piece","Plastic scraper for e.g. removing attached balancing weights without damaging the rim. Made of composite material.","Ruville","Tools"
"Wheel weight pliers","Weight pliers/weight hammer in CrV steel with plastic-coated handles. For fitting/removing balancing weights when fitting and balancing tyres.","Behr Hella Service","Tools"
"Valve stem torque tool","For fitting/removing valve stems.Built-in torque limiter.Red = 0.25 NmBlack = 0.45 Nm","Texa","Tools"
"End-cutting pliers for rubber valves","Simplifies valve removal on all types of wheel rims.","Valeo Service","Tools"
"Tyre mounting machine with support arm","Semi-automatic mounting machine with pneumatic support arm for mounting/demounting tyres onto/from rims. The support arm assists in the mounting and demounting of e.g. low profile tyres and tyres with rigid sides.","Faurecia","Tools"
"Pump handle","Aluminium handle.3/1 connection.For use, for example, with Biltema's diesel pump products.Max. capacity 80 l/min.","ATE","Tools"
"Tyre mounting paste, 5 kg","Tyre mounting paste with corrosion protection for quickly and safely fitting tyres on rims. Makes fitting and removing tyres easier since the tyre does not get stuck on the rim. The paste is easy to apply to the tyre using a brush. It distributes evenly and dries quickly. Using mounting paste reduces the risk of damage to the tyres and rims when fitting/removing tyres. In addition, it reduces wear and tear on the tyre fitting machine and equipment. The product must be stored and used at room temperature.ApplicationApply thinly to the tyre inner edge using a brush or sponge. For truck and EM tyres, also apply to the rim base and the inclined axle ring. This allows the tyre to easily slide on the rim without damage. The use of tyre mounting paste ensures a technically perfect fit of the tyre to the rim, making subsequent balancing easier.EUH210 Safety data sheet available on request.","Valeo","Tools"
"Wheel Nut Sockets, 4-pack","CrMo steel. 1/2 square drive. For efficient and safe fitting of wheel nut sockets/bolts. Socket sizes: 17 mm, 19 mm, 21 mm and 22 mm.","Ruville","Tools"
"Torque Rods, 5-pack","CrMo steel. 1/2 square drive. For tightening nuts and bolts to a predetermined torque. Ideal for e.g. tyre changing. Length: 200 mm.NOTE: Must be used together with a nut driver.Torque setting, Colour code90 Nm (65 ft-lbs), Green100 Nm (75 ft-lbs), Black110 Nm (80 ft-lbs), Yellow120 Nm (90 ft-lbs), Red135 Nm (100 ft-lbs), Blue","TRW Automotive","Tools"
"Wheel nut wrench, 17/19 mm","With reversible socket for 17 and 19 mm wheel nuts. Fitted with an extendible shaft and 1/2 square drive also for use as a powerful handle for sturdy sockets.  Length: 360–530 mm. CrV steel.","Febi Bilstein","Tools"
"Wheel nut sockets, long, 3 pcs.","Long sockets which make it easy to tighten wheel nuts without the torque spanner hitting rims and tyres. In a plastic housing which protects the rim from being scratched. Colour-coded in the following sizes: 17, 19 and 21 mm. 1/2 square drive.","Knorr-Bremse","Tools"
"Wheel nut wrench, 19/21 mm","Steel shaft with fibreglass coating and rubber handle. Adjustable length: 350-510 mm. 1/2 square drive. Reversible CrV steel socket with 19 mm and 21 mm Round Corner® fitting. Can also be used as an impact spanner for power sockets.","Valeo","Tools"
"Rim lock key set for Audi, 20 parts","Wheel nut sockets consisting of 20 extractor sockets in different sizes for most Audi models.Very powerful tools in a strong case.Contents:20 extractor sockets in sizes: 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820.","ATE","Tools"
"Rim lock key set for VW, 20 parts","Wheel nut sockets consisting of 20 extractor sockets in different sizes for most VW models.Very powerful tools in a strong case.Contents:20 extractor sockets in sizes: 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540","Ruville","Tools"
"Rim lock key set for BMW models before 2012, 21 parts","21-part wheel nut socket set containing 20 extractor sockets in different sizes and 1 impact socket. Designed for removing and fitting rim locks on BMW models before 2012.Very powerful tools in a strong case.Contents:1 impact socket.20 extractor sockets in sizes:30/13PT, 31/15PT, 32/16PT,13/16PT, 12/14PT, 11/15PT, 33/17PT, 34/18PT,35/19PT,16/10PT, 15/11PT, 14/12PT, 36/20PT, 37/21PT, 38/22PT, 19/8PT, 18/13PT, 17/7PT, 40/23PT, 20/9PT","Delphi Technologies","Tools"
"Rim lock key set for VAG, 23 parts","23-part wheel nut socket set containing 22 extractor sockets in different sizes and 1 impact socket for removing and fitting rim locks on most VAG vehicles.Very powerful tools in a strong case.Contents:1 impact socket.22 extractor sockets in sizes: 51/6pt, 52/7pt, 53/8pt, 54/9pt, 55/10pt, 56/11pt, 57/12pt, 58/13pt, 59/14pt, 60/15pt, 61/16pt, 62/17pt, ABC0/10pt, ABC1/11pt, ABC2/13pt, ABC3/14pt, ABC4/15pt, ABC5/16pt, ABC6/17pt, ABC7/19pt, ABC8/20pt, ABC9/21pt.","WABCO","Tools"
"Wheel hub holding tool","Fits directly on the wheel bolts and holds the wheel hub in place when fitting/removing axle nuts, or when servicing the wheel bearings. Suitable for vehicles with 4 x 100 mm (3.937) to 8 x 170.3 mm (6.704) wheel bolt patterns. With square hole for extender (1/2).","Pierburg","Tools"
"Thread Brush, 6 parts","Set with handle and 6 interchangeable brushes. Sizes: 12, 13, 14, 16, 22, 28 mm.","Tenneco","Tools"
"Rim lock key set for Volvo-A, 20 parts","Wheel nut sockets consisting of 20 extractor sockets in different sizes for Volvo.Very powerful tools in a strong case.Contents:20 extractor sockets in sizes: 7601, 7602, 7603, 7604, 7605, 7606, 7607, 7608, 7609, 7610, 7611, 7612, 7613, 7614, 7615, 7616, 7617, 7618, 7619, 7620.","ATE","Tools"
"Rim lock key set for Volvo-B, 20 parts","Wheel nut sockets consisting of 20 extractor sockets in different sizes for Volvo.Very powerful tools in a strong case.Contents:20 extractor sockets in sizes: 944L, 945L, 946L, 947L, 948L, 949L, 950L, 951L, 952L, 953L, 065P, 071P, 072P, 076P, 079P, 121P, 651P, 944P, 945P, 951P.","TRW Automotive","Tools"
"Rim lock key set for BMW models after 2012, 20 parts","Wheel nut sockets consisting of 20 extractor sockets in different sizes for BMW models after 2012.Very powerful tools in a strong case.Contents:20 extractor sockets in sizes: 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 054, 055, 056, 057, 058, 059, 060.","LemfÃ¶rder","Tools"
"Tyre mounting machine","Semi-automatic mounting machine with manual locking of mounting arm. For demounting/mounting tyres from/onto standard wheel rims. 230 V, 1-phase.","Continental","Tools"
"Automatic tyre balancing machine","Motor-powered with protective hood and five balancing programs for stick-on weights, clamp-on weights, and hidden weights. Automatically measures spacing and wheel diameter with the measuring stick. Self-calibrating with diagnostic function. Brakes for easy weight attachment. Suitable for all types of aluminium and steel rims. Motorcycle wheels can also be balanced with additional accessories.","Continental","Tools"
"Tyre balancing machine","Motor-powered with protective hood and 5 balancing programs for stick-on weights and clamp-on weights. Easy to use thanks to the simple digital display. Self-calibrating with diagnostic function. Motorcycle wheels can also be balanced with additional accessories.","Brembo","Tools"
"Printed circuit board 173230","17-3220/17-3230","Hella","Tools"
"Plastic cover for clamping blocks","Fits tyre mounting machines 17-3200 and 17-3210.","Ruville","Tools"
"5-way valve, complete","Spare part for Tyre Mounting Machine 17-3200 and 17-3210.","Valeo","Tools"
"Axle for MC-adapter","Complete axle (Ø 18 mm) for 17-3220 and 17-3230.","FAG","Tools"
"Clamping blocks for tyre mounting machine","Fits tyre mounting machines 17-3200 and 17-3210.","Texa","Tools"
"Clincher lever guard","Fits tyre mounting machines 17-3200 and 17-3210.","ATE","Tools"
"Piston","Fits Tyre Mounting Machine 17-3200.","GKN Driveline","Tools"
"Plastic Cover for Mounting Head","Fits tyre mounting machines 17-3200 and 17-3210.","Faurecia","Tools"
"Power supply card 173220","17-3220/17-3230","Bilstein","Tools"
"Rotary table, complete","Fits Tyre Mounting Machine 17-3200 and 17-3210.","VDO","Tools"
"Valve handle","Fits Tyre Mounting Machine 17-3200.","Hella","Tools"
"Mini compressor, 240 W","Compact compressor with coiled air hose, pressure gauge and 3 different nozzles. Also comes with an adapter for pumping bicycle and car tyres (approx. 2 min.), air mattresses, etc. Electrical cable with battery clamps for connection to a 12 V battery. LED light. Comes in a practical bag.","Magna International","Tools"
"Mini-compressor, 120 W","Compact compressor with LED light and digital backlit display. Two nozzles for pumping car and bicycle tyres as well as smaller inflatable products, such as footballs and pool toys. Smart cable and hose storage inside the compressor. Connects to a 12 V cigarette lighter socket.","Texa","Tools"
"Mini-compressor, 70 W","Compact compressor with built-in pressure gauge, ON/OFF switch, and 2 different nozzles for pumping car and bicycle tyres, as well as smaller inflatable products such as footballs and pool toys. Connects to a 12 V cigarette lighter socket.","Mann+Hummel","Tools"
"Tyre pressure/tread depth meter","Digital meter that helps you keep track of tyre pressure and tread depth. Clear blue LED backlit display. Settings for psi, bar, kPa, mm and inches. Powered by 2 x CR2032 batteries (included). Automatic shut-down after 25 seconds.","Magneti Marelli","Tools"
"Battery-powered compressor, 25-28 L/min","Compact compressor that connects to a 12 V cigarette lighter socket. Pumps car tyres, bicycle tyres, rubber boats, air mattresses, etc. Ideal for keeping in cars, caravans, motorhomes or boats. It has digital pressure gauge, function buttons to set the pressure, and an LED light. The compressor stops automatically at the preset pressure. Also contains an air pump for inflating/deflating e.g. rubber boats and air mattresses.","Faurecia","Tools"
"Digital tyre pressure gauge","Having the right tyre pressure reduces fuel consumption and tyre wear. Suitable for cars, trucks, motorcycles and bicycles. Can be set to measure and display bar/kPa/psi. Backlit LCD display. With practical torch and automatic shut-down.","Magna International","Tools"
"Honing tool","For honing cylinder walls. Adjustable contact pressure and flexible shaft. Drill-powered. Working width: 2-7. Easy-to-replace whetstone. Supplied with whetstones (280 grit – fine).","LUK","Tools"
"Honing tool","For cleaning open, blind and step-drilled wheel brake cylinders. Bendable shaft. Drill-powered. Working width: 11/16–2 1/2. Easy-to-replace whetstone K220.","ElringKlinger","Tools"
"Staple gun for mending plastic","For fast and strong repair of cracked or broken plastic parts on cars or in the home. The machine heats a staple which is pressed into the plastic since the heat melts the material. Produces a lasting mend that can be sanded and painted. 300 staples in three sizes included.","Mann+Hummel","Tools"
"Bearing removal tool","For bearings and bearing races that are too close to other machine parts to reach with normal removal tools. Must be used together.","Continental","Tools"
"Tool for panel clips","Tool for easy removal of panel clips/locking clips on the back of car door panels. Plastic handle. Total length: 235 mm.","TRW Lucas","Tools"
"Removal tool, universal","For removing panels and trim in and on vehicles.  Equivalent to the VW Fish Bone, reference number 3409.","Dayco","Tools"
"Clip removal pliers","Special pliers with 30° tapered jaws for removing stubborn clips from vehicle panels, etc. Jaw width: 20 mm.","Valeo","Tools"
"Slide hammer set, 24 parts","For removing deep-recessed hubs, bearings, gears, drive pulleys, etc.","Behr Hella Service","Tools"
"Slide hammer set, 9 parts","Slide hammer set with 9 parts. Suitable for repairing bodywork damage in hard-to-reach areas, and for removing brake pads and bearings, etc.","WABCO","Tools"
"Grease Gun","Powerful grease gun with pump handle and curved nipple tube. For 400 g grease cartridges or bulk.","Knorr-Bremse","Tools"
"Slide hammer set, 12 parts","Slide hammer set with 12 parts. Suitable for car bodywork dents in confined spaces. The weight and stroke of the hammer also make it suitable for removing brake pads, bearings, etc. Supplied in a compression-moulded plastic case with practical carrying handle.","WABCO","Tools"
"Cam Holding Tool","For holding cam gears when tightening/loosening bolts.Fits drilled cam gears with holes at least Ø 13.5 mm.Universal model with adjustable dowel distanceDowels: Ø 13 mm","Ferodo","Tools"
"Anvil","Hardened anvil made of carbon steel. Grinded and polished head. For working on e.g. car bodywork, panel beating, etc.","TRW Lucas","Tools"
"Anvil","Hardened anvil made of carbon steel. Grinded and polished head. For working on e.g. car bodywork, panel beating, etc.","Febi Bilstein","Tools"
